id,name,instructor_id,student_id,start_date
en65,History of Art,6,17,7/6/2023
63qV,Mathematics for Beginners,18,16,2/21/2023
1TYF,History of Art,19,3,9/21/2022
E18v,Mathematics for Beginners,1,18,4/10/2023
dZZP,History of Art,6,15,3/16/2023
SMSe,Computer Science 101,13,5,7/29/2022
x90C,English Literature Survey,20,19,12/31/2023
P33w,Introduction to Biology,6,15,8/22/2022
2079,Mathematics for Beginners,1,11,9/12/2023
1712,English Literature Survey,14,15,1/26/2023
Qk4W,Mathematics for Beginners,10,12,3/11/2023
hsn4,History of Art,20,6,6/27/2023
b96T,Mathematics for Beginners,6,5,7/21/2022
xb5a,Computer Science 101,12,1,9/6/2022
n9gg,History of Art,11,15,9/1/2022
h19M,Computer Science 101,12,16,12/7/2023
T2NK,English Literature Survey,14,12,11/6/2022
WN8J,Computer Science 101,13,16,1/30/2023
WU3V,Introduction to Biology,16,14,9/19/2022
SRKm,Computer Science 101,7,17,12/24/2022
dtCS,English Literature Survey,5,12,12/5/2023
06P6,English Literature Survey,19,8,8/17/2023
zOC0,English Literature Survey,4,5,9/16/2022
smDr,Computer Science 101,11,20,7/18/2023
0Mhz,History of Art,16,8,11/2/2023
YY58,Mathematics for Beginners,20,4,7/7/2023
v6t5,Introduction to Biology,1,17,10/23/2023
1abY,History of Art,8,5,7/24/2023
349Q,Introduction to Biology,9,6,11/11/2023
R8nB,History of Art,2,17,5/4/2023
pj35,Computer Science 101,1,5,11/1/2022
7a66,Computer Science 101,12,19,10/1/2022
33pA,Computer Science 101,20,8,7/16/2023
JAM6,Computer Science 101,4,4,9/12/2023
vw1I,English Literature Survey,9,2,3/17/2023
iLYT,Introduction to Biology,11,11,11/18/2022
U9qw,Mathematics for Beginners,6,2,12/1/2023
r0JC,Computer Science 101,11,4,8/18/2022
ZY6W,History of Art,13,9,5/7/2023
7FPx,History of Art,9,16,6/29/2023
Yzwj,Mathematics for Beginners,16,6,8/7/2022
YEH5,History of Art,8,18,5/5/2023
8eWW,History of Art,20,15,11/11/2022
KORq,History of Art,14,2,8/19/2023
l05Z,Computer Science 101,4,18,5/24/2023
yPyH,English Literature Survey,1,10,11/19/2022
D23d,English Literature Survey,2,12,8/6/2022
0XNm,Introduction to Biology,8,20,11/18/2023
NRBj,Introduction to Biology,19,6,7/6/2022
2B6M,Mathematics for Beginners,1,1,10/31/2023
